word_stimulus,language,familiarity,word_type,correct_key
हँसुआ,Maithili,High,Word,right
टाट,Maithili,High,Word,right
लोटा,Maithili,High,Word,right
भात,Maithili,High,Word,right
पोखर,Maithili,High,Word,right
भनसा,Maithili,High,Word,right
सनेस,Maithili,High,Word,right
सूप,Maithili,High,Word,right
धोबिन,Maithili,High,Word,right
आँगन,Maithili,High,Word,right
सगरी,Maithili,Low,Word,right
पेठी,Maithili,Low,Word,right
घिस्सी,Maithili,Low,Word,right
उकठ,Maithili,Low,Word,right
ओखड़,Maithili,Low,Word,right
पेन्ही,Maithili,Low,Word,right
कनगी,Maithili,Low,Word,right
झउआ,Maithili,Low,Word,right
झोरी,Maithili,Low,Word,right
बहुरिया,Maithili,Low,Word,right
किताब,Hindi,High,Word,right
सड़क,Hindi,High,Word,right
शहर,Hindi,High,Word,right
सवाल,Hindi,High,Word,right
स्कूल,Hindi,High,Word,right
आग,Hindi,High,Word,right
बाज़ार,Hindi,High,Word,right
सरकार,Hindi,High,Word,right
सपना,Hindi,High,Word,right
आवाज़,Hindi,High,Word,right
परात,Hindi,Low,Word,right
ओखली,Hindi,Low,Word,right
सिलबट्टा,Hindi,Low,Word,right
शब्दावली,Hindi,Low,Word,right
लट्टू,Hindi,Low,Word,right
लोहार,Hindi,Low,Word,right
दीमक,Hindi,Low,Word,right
दूरबीन,Hindi,Low,Word,right
प्रमाण,Hindi,Low,Word,right
विपक्ष,Hindi,Low,Word,right
किलाम,NA,NA,Nonword,left
सडप,NA,NA,Nonword,left
शहप,NA,NA,Nonword,left
सवान,NA,NA,Nonword,left
आफ,NA,NA,Nonword,left
सरकाल,NA,NA,Nonword,left
सपमा,NA,NA,Nonword,left
पराद,NA,NA,Nonword,left
ओखमी,NA,NA,Nonword,left
लोपार,NA,NA,Nonword,left
हँसुरा,NA,NA,Nonword,left
लोसा,NA,NA,Nonword,left
पोसर,NA,NA,Nonword,left
भनवा,NA,NA,Nonword,left
सनेब,NA,NA,Nonword,left
धोमिल,NA,NA,Nonword,left
पेठिम,NA,NA,Nonword,left
कनिल,NA,NA,Nonword,left
झोनी,NA,NA,Nonword,left
बहुनिया,NA,NA,Nonword,left
